term,sense,sentence,class,confidence,pred_labels,replace_words,target_words
administer,administer#v#3,administer critical remarks to everyone present,literal,0.6,metaphorical,['input'],['remarks']
admit,admit#v#1,He admitted his errors,literal,0.8,metaphorical,['sleep'],['admitted']
admit,admit#v#2,We cannot admit non-members into our club building,literal,0.8,metaphorical,['toilet'],['can']
admit,admit#v#3,admit someone to the profession,literal,0.7,metaphorical,['sleep'],['admit']
admit,admit#v#5,This problem admits of no solution,metaphorical,0.6,metaphorical,['sleep'],['admits']
admit,admit#v#6,The French doors admit onto the yard,literal,0.8,metaphorical,['house'],['admit']
admit,admit#v#8,This ticket will admit one adult to the show,literal,0.9,metaphorical,['volition'],['will']
affect,affect#v#1,Will the new rules affect me?,literal,0.8,metaphorical,['volition'],['Will']
affect,affect#v#2,the medicine affects my heart rate,literal,0.9,metaphorical,['touch'],['affects']
affect,affect#v#3,This new ruling affects your business,literal,0.8,metaphorical,['process'],['affects']
age,age#v#1,The death of his wife caused him to age fast,literal,0.7,metaphorical,['occasion'],['caused']
age,age#v#2,we age every day--what a depressing thought!,literal,0.9,metaphorical,['newness'],['age']
age,age#v#3,The death of his child aged him tremendously,literal,0.6,literal,['elderly'],['aged']
agree,agree#v#1,We agreed on the terms of the settlement,literal,0.9,metaphorical,['compromise'],['agreed']
agree,agree#v#2,She agreed to all my conditions,literal,0.9,literal,['bargain'],['agreed']
agree,agree#v#3,The two stories don't agree in many details,literal,0.7,metaphorical,['look'],['agree']
agree,agree#v#5,Subjects and verbs must always agree in English,literal,0.7,literal,['must'],['must']
agree,agree#v#6,White wine doesn't agree with me,metaphorical,0.5,metaphorical,['look'],['agree']
agree,agree#v#7,No two of my colleagues would agree on whom to elect chairman,literal,0.8,misc,[''],['would']
aim,aim#v#1,Please don't aim at your little brother!,literal,0.9,metaphorical,['thing'],['aim']
aim,aim#v#2,I aim to arrive at noon,metaphorical,0.5,metaphorical,['train'],['aim']
aim,aim#v#5,He aimed his fists towards his opponent's face,literal,1.0,metaphorical,['sight'],['aimed']
aim,aim#v#6,She wanted to aim a pun,metaphorical,0.5,literal,['desire'],['wanted']
air,air#v#2,This show will air Saturdays at 2 P.M.,metaphorical,0.5,metaphorical,['leave'],['will']
air,air#v#3,We cannot air this X-rated song,literal,0.6,metaphorical,['toilet'],['can']
air,air#v#4,She aired her opinions on welfare,metaphorical,0.7,metaphorical,['bare'],['aired']
air,air#v#6,air the old winter clothes,literal,0.6,metaphorical,['bare'],['air']
allow,allow#v#10,We don't allow dogs here,literal,0.9,literal,['let'],['allow']
allow,allow#v#3,Mandela was allowed few visitors in prison,literal,0.9,metaphorical,['reserve'],['allowed']
allow,allow#v#6,I allow for this possibility,literal,0.8,literal,['appropriate'],['allow']
allow,allow#v#9,The camera store owner allowed me $50 on my old camera,literal,0.8,metaphorical,['trust'],['allowed']
amount,amount#v#1,Her action amounted to a rebellion,literal,0.7,metaphorical,['amount'],['amounted']
amount,amount#v#2,"The bills amounted to $2,000",literal,0.9,metaphorical,['total'],['amounted']
amount,amount#v#3,This idea will never amount to anything,metaphorical,0.7,metaphorical,['volition'],['will']
analyze,analyze#v#4,I was analyzed in Vienna by a famous psychiatrist.,literal,0.8,metaphorical,['canvas'],['analyzed']
answer,answer#v#1,She didn't want to answer,literal,0.9,literal,['desire'],['want']
answer,answer#v#10,The steering of my new car answers to the slightest touch,metaphorical,0.7,metaphorical,['bridle'],['answers']
answer,answer#v#2,answer the telephone,literal,0.9,metaphorical,['feedback'],['answer']
answer,answer#v#4,The question concerning the meaning of life cannot be answered,literal,0.8,metaphorical,['touch'],['concerning']
answer,answer#v#5,The defendant answered to all the charges of the prosecution,literal,0.9,metaphorical,['field'],['answered']
answer,answer#v#6,She must answer for her actions,literal,0.8,literal,['must'],['must']
answer,answer#v#7,A few words would answer,literal,0.8,misc,[''],['would']
answer,answer#v#8,The drawing of the suspect answers to the description the victim gave,literal,0.6,metaphorical,['sacrifice'],['gave']
answer,answer#v#9,This may answer her needs,literal,0.7,literal,['may'],['may']
appeal,appeal#v#1,He was found guilty but appealed immediately.,literal,0.8,metaphorical,['witness'],['found']
appeal,appeal#v#2,Appeal to somebody for help!,metaphorical,0.5,metaphorical,['charm'],['Appeal']
appeal,appeal#v#4,She appealed the verdict.,literal,0.72,literal,['appeal'],['appealed']
appear,appear#v#2,He suddenly appeared at the wedding,literal,0.9,metaphorical,['break'],['appeared']
appear,appear#v#3,Did your latest book appear yet?,literal,0.6,literal,['feel'],['appear']
appear,appear#v#6,Gielgud appears briefly in this movie,literal,0.8,metaphorical,['show'],['appears']
appear,appear#v#7,He had to appear in court last month,literal,0.9,metaphorical,['break'],['appear']
appreciate,appreciate#v#2,Do you appreciate the full meaning of this letter?,literal,0.7,metaphorical,['value'],['appreciate']
appreciate,appreciate#v#4,The yen appreciated again!,literal,0.9,metaphorical,['value'],['appreciated']
appreciate,appreciate#v#5,The Germans want to appreciate the Deutsche Mark,literal,0.7,literal,['desire'],['want']
approach,approach#v#1,We were approaching our destination,literal,0.9,literal,['coming'],['approaching']
approach,approach#v#4,Winter is approaching,literal,0.6,metaphorical,['closing'],['approaching']
approach,approach#v#5,I was approached by the President to serve as his adviser in foreign matters,literal,0.9,metaphorical,['approach'],['approached']
ascend,ascend#v#1,We ascended the mountain.,literal,0.7,metaphorical,['surface'],['ascended']
ascend,ascend#v#2,Inheritance may not ascend linearly.,metaphorical,0.7,literal,['may'],['may']
ascend,ascend#v#3,She ascended to the throne after the King's death.,literal,0.5238,metaphorical,['rise'],['ascended']
ascend,ascend#v#5,The boat ascended the Delaware.,literal,0.8,metaphorical,['surface'],['ascended']
ascend,ascend#v#6,The path ascended to the top of the hill.,literal,0.9,metaphorical,['surface'],['ascended']
ask,ask#v#1,I asked about their special today,literal,0.9,metaphorical,['question'],['asked']
ask,ask#v#2,She asked him for a loan,literal,0.9,metaphorical,['question'],['asked']
ask,ask#v#7,He is asking $200 for the table,literal,0.9,metaphorical,['cost'],['asking']
assign,assign#v#2,We were assigned new uniforms.,literal,0.9444,metaphorical,['task'],['assigned']
assign,assign#v#4,The teacher assigned him to lead his classmates in the exercise.,literal,0.8235,metaphorical,['task'],['assigned']
assign,assign#v#8,The biologist assigned the mushroom to the proper class.,literal,0.8571,metaphorical,['transfer'],['assigned']
assimilate,assimilate#v#2,Immigrants often want to assimilate quickly,literal,0.8,literal,['desire'],['want']
assume,assume#v#1,I assume his train was late,literal,0.8,metaphorical,['hat'],['assume']
assume,assume#v#2,When will the new President assume office?,literal,0.7,metaphorical,['leave'],['will']
assume,assume#v#5,He assumes the lotus position,literal,0.8,metaphorical,['hat'],['assumes']
assume,assume#v#6,He assumed to himself the right to fill all positions in the town,literal,0.8,metaphorical,['hat'],['assumed']
assume,assume#v#7,"She assumed indifference, even though she was seething with anger",literal,0.9,metaphorical,['hat'],['assumed']
assume,assume#v#8,This is the day when May was assumed into heaven,literal,0.6,metaphorical,['strike'],['assumed']
attack,attack#v#1,"Hitler attacked Poland on September 1, 1939 and started World War II",literal,0.9,metaphorical,['counterattack'],['attacked']
attack,attack#v#2,The editors of the left-leaning paper attacked the new House Speaker,metaphorical,0.5,literal,['leaning'],['leaning']
attack,attack#v#3,The Serbs attacked the village at night,literal,0.9,literal,['raid'],['attacked']
attack,attack#v#5,I attacked the problem as soon as I got out of bed,metaphorical,0.7,metaphorical,['jump'],['attacked']
attack,attack#v#6,The cancer cells are attacking his liver,literal,0.6,metaphorical,['blister'],['attacking']
attend,attend#v#1,She attends class regularly,literal,1.0,metaphorical,['worship'],['attends']
attend,attend#v#3,Menuhin's playing was attended by a 15-minute standing ovation,literal,0.7,metaphorical,['valet'],['attended']
attend,attend#v#4,She attends the old lady in the wheelchair,literal,0.6,metaphorical,['worship'],['attends']
attend,attend#v#5,The children in the audience attended the recital quietly,literal,0.9,metaphorical,['worship'],['attended']
attest,attest#v#1,His high fever attested to his illness,metaphorical,0.5,metaphorical,['evidence'],['attested']
attest,attest#v#2,I attest this signature,literal,0.8,literal,['manifest'],['attest']
attest,attest#v#4,This word is not attested until 1993,literal,0.8,metaphorical,['evidence'],['attested']
avoid,avoid#v#2,Let's avoid a confrontation.,literal,0.9,metaphorical,['trust'],['Let']
avoid,avoid#v#4,Muslims avoid tobacco during the day.,literal,1.0,metaphorical,['shirk'],['avoid']
back,back#v#2,back into the driveway,literal,0.9,literal,['back'],['back']
back,back#v#4,back the car into the parking spot,literal,1.0,literal,['rear'],['back']
back,back#v#5,back this enterprise,literal,0.6,metaphorical,['go-ahead'],['enterprise']
back,back#v#6,My garage backs their yard,literal,0.6,literal,['stern'],['backs']
back,back#v#7,Which horse are you backing?,metaphorical,0.8,metaphorical,['gage'],['backing']
back,back#v#9,Can you back up your claims?,literal,0.7,metaphorical,['ass'],['Can']
begin,begin#v#2,The DMZ begins right over the hill,literal,0.6,metaphorical,['bud'],['begins']
begin,begin#v#5,The number `one' begins the sequence,literal,0.9,metaphorical,['bud'],['begins']
begin,begin#v#7,The novel begins with a murder,literal,0.9,metaphorical,['Begin'],['begins']
begin,begin#v#9,This economic measure doesn't even begin to deal with the problem of inflation,literal,0.8,metaphorical,['bud'],['begin']
believe,believe#v#1,I believed his report,literal,0.9,metaphorical,['trust'],['believed']
believe,believe#v#3,I believe that he will come back from the war,literal,1.0,metaphorical,['trust'],['believe']
believe,believe#v#4,"When you hear his sermons, you will be able to believe, too",literal,0.8,literal,['try'],['hear']
believe,believe#v#5,You cannot believe this man,literal,0.8,metaphorical,['ass'],['can']
belong,belong#v#1,This book belongs to me,literal,0.9,metaphorical,['go'],['belongs']
belong,belong#v#2,This student somehow doesn't belong,literal,0.8,literal,['go'],['belong']
belong,belong#v#3,Where do these books belong?,literal,0.7,literal,['go'],['belong']
belong,belong#v#4,The whales belong among the mammals,literal,0.9,literal,['belong'],['belong']
belong,belong#v#5,They belong to the same political party,literal,0.8,literal,['go'],['belong']
belong,belong#v#6,the uniform looks like it belonged to a museum collection,literal,0.8,metaphorical,['spirit'],['looks']
besiege,besiege#v#1,The Turks besieged Vienna,literal,0.9,literal,['besiege'],['besieged']
besiege,besiege#v#2,She was besieged by so many problems that she got discouraged,metaphorical,0.6,literal,['blockade'],['besieged']
besiege,besiege#v#3,The press photographers besieged the movie star,literal,0.7,metaphorical,['ebb'],['besieged']
bind,bind#v#3,The Chinese would bind the feet of their women.,literal,0.8,misc,[''],['would']
bind,bind#v#7,They bind their books in leather.,literal,0.9,metaphorical,['lace'],['bind']
bind,bind#v#9,The hydrogen binds the oxygen.,literal,0.6,literal,['bond'],['binds']
blast,blast#v#1,She tended to blast when speaking into a microphone,metaphorical,0.7,metaphorical,['shepherd'],['tended']
blast,blast#v#4,the air conditioning was blasting cold air at us,literal,0.6,literal,['blast'],['blasting']
blast,blast#v#5,blast a passage through the mountain,literal,0.9,literal,['shell'],['blast']
blast,blast#v#6,blast a tunnel through the Alps,literal,0.8,literal,['pump'],['blast']
blast,blast#v#7,the gunman blasted away,literal,0.8,literal,['blast'],['blasted']
blaze,blaze#v#1,Meteors blazed across the atmosphere.,metaphorical,0.6,metaphorical,['blaze'],['blazed']
blaze,blaze#v#2,He blazed away at the men.,metaphorical,0.9,metaphorical,['blaze'],['blazed']
blaze,blaze#v#3,The summer sun alone can cause a pine to blaze.,literal,0.7,metaphorical,['buttocks'],['can']
blaze,blaze#v#4,The spaceship blazed out into space.,metaphorical,0.7,metaphorical,['blaze'],['blazed']
blend,blend#v#1,She blended the nuts and raisins together.,literal,0.9,literal,['fuse'],['blended']
blend,blend#v#2,This flavor will blend with those in your dish.,literal,0.7,metaphorical,['volition'],['will']
blend,blend#v#3,The colors blend well.,literal,0.8,literal,['blending'],['blend']
blister,blister#v#1,Her feet blistered during the long hike.,literal,1.0,metaphorical,['blister'],['blistered']
blister,blister#v#2,The Senator blistered the administration in his speech on Friday.,metaphorical,1.0,metaphorical,['whip'],['blistered']
blister,blister#v#3,The tight shoes and perspiration blistered her feet.,literal,0.8,metaphorical,['blister'],['blistered']
blur,blur#v#2,The haze blurs the hills,literal,0.7,metaphorical,['muddy'],['blurs']
blur,blur#v#5,The fog blurs my vision,literal,0.8,metaphorical,['dim'],['blurs']
blur,blur#v#6,The distinction between the two theories blurred,metaphorical,0.9,literal,['blur'],['blurred']
bob,bob#v#1,her rucksack bobbed gently on her back,literal,0.9,literal,['bob'],['bobbed']
bob,bob#v#2,The boys bobbed down the hill screaming with pleasure,literal,0.7,literal,['tail'],['bobbed']
bob,bob#v#5,Bernice bobs her hair these days!,literal,0.6,literal,['bob'],['bobs']
bolt,bolt#v#1,She bolted from her seat,literal,0.7,literal,['bolt'],['bolted']
bolt,bolt#v#5,The listeners bolted when he discussed his strange ideas,literal,0.7,literal,['bolt'],['bolted']
bolt,bolt#v#6,Don't bolt your food!,metaphorical,0.8,literal,['bang'],['bolt']
boost,boost#v#2,The tax cut will boost the economy.,metaphorical,0.7,metaphorical,['volition'],['will']
boost,boost#v#4,Boost the voltage in an electrical circuit.,literal,0.6,metaphorical,['further'],['Boost']
boost,boost#v#5,The singer had to be boosted onto the stage by a special contraption.,literal,0.85,metaphorical,['further'],['boosted']
bother,bother#v#2,Mosquitoes buzzing in my ear really bothers me,literal,0.8,literal,['hum'],['buzzing']
bother,bother#v#4,Don't bother the professor while she is grading term papers,literal,0.9,metaphorical,['pain'],['bother']
bother,bother#v#5,The mere thought of her bothered him and made his heart beat faster,literal,0.9,metaphorical,['trouble'],['bothered']
bounce,bounce#v#1,The rubber ball bounced,literal,1.0,metaphorical,['recoil'],['bounced']
bounce,bounce#v#5,He bounced to his feet,literal,0.8,metaphorical,['rebound'],['bounced']
bounce,bounce#v#7,The ex-boxer's job is to bounce people who want to enter this private club,metaphorical,0.8,literal,['rebound'],['bounce']
bow,bow#v#1,He bowed before the King,literal,1.0,literal,['bow'],['bowed']
bow,bow#v#2,The government bowed to the military pressure,metaphorical,0.6,literal,['bow'],['bowed']
bow,bow#v#3,He bowed before the King,literal,1.0,literal,['bow'],['bowed']
bow,bow#v#4,She bowed before the Queen,literal,1.0,literal,['bow'],['bowed']
breathe,breathe#v#1,I can breathe better when the air is clean,literal,1.0,metaphorical,['toilet'],['can']
breathe,breathe#v#2,Every creature that breathes,literal,1.0,metaphorical,['yawn'],['breathes']
breathe,breathe#v#3,He breathed new life into the old house,metaphorical,0.7,metaphorical,['rest'],['breathed']
breathe,breathe#v#4,Our new synthetic fabric breathes and is perfect for summer wear,metaphorical,0.8,metaphorical,['bubble'],['breathes']
breathe,breathe#v#6,She breathes the Christian spirit,metaphorical,0.5,metaphorical,['rest'],['breathes']
breathe,breathe#v#8,This rare Bordeaux must be allowed to breathe for at least 2 hours,metaphorical,0.6,literal,['must'],['must']
brush,brush#v#1,Johnson brushed the hairs from his jacket,literal,1.0,literal,['brush'],['brushed']
brush,brush#v#2,He brushed the wall lightly,literal,0.9,literal,['brush'],['brushed']
brush,brush#v#3,She brushed the suit before hanging it back into the closet,literal,1.0,literal,['brush'],['brushed']
brush,brush#v#4,Her long skirt brushed the floor,literal,0.7,literal,['brush'],['brushed']
brush,brush#v#5,brush away the crumbs,literal,1.0,literal,['brush'],['brush']
brush,brush#v#6,brush the bread with melted butter,literal,0.9,literal,['brush'],['brush']
build,build#v#10,Suspense was building right from the beginning of the opera,literal,0.6,metaphorical,['frame'],['building']
build,build#v#5,The government is building new schools in this state,literal,0.8,metaphorical,['ministry'],['building']
build,build#v#6,build a modern nation,literal,0.7,metaphorical,['shape'],['build']
build,build#v#7,These architects build in interesting and new styles,literal,0.8,metaphorical,['shape'],['build']
build,build#v#8,build a defense on nothing but the accused person's reputation,literal,0.8,metaphorical,['person'],['build']
buy,buy#v#3,This sum will buy you a ride on the train,literal,0.9,metaphorical,['leave'],['will']
buy,buy#v#4,She wanted to buy his love with her dedication to him and his work,literal,0.6,literal,['desire'],['wanted']
buy,buy#v#5,I can't buy this story,metaphorical,0.7,literal,['Ca'],['ca']
buzz,buzz#v#1,bees were buzzing around the hive,literal,0.9,literal,['buzzing'],['buzzing']
buzz,buzz#v#2,Planes buzzed the crowds in the square,literal,0.7,metaphorical,['buzz'],['buzzed']
buzz,buzz#v#3,This office is buzzing with activity,metaphorical,0.7,literal,['buzzing'],['buzzing']
buzz,buzz#v#4,he buzzed the servant,metaphorical,0.7,metaphorical,['buzz'],['buzzed']
capture,capture#v#1,capture the essence of Spring,metaphorical,0.7,metaphorical,['apprehension'],['capture']
capture,capture#v#2,She captured all the men's hearts,metaphorical,0.6,metaphorical,['charm'],['captured']
capture,capture#v#4,This nucleus has captured the slow-moving neutrons,literal,0.8,metaphorical,['trap'],['captured']
challenge,challenge#v#1,She challenged his claims,literal,0.9,metaphorical,['challenge'],['challenged']
challenge,challenge#v#2,Fischer challenged Spassky to a match,literal,0.9,metaphorical,['action'],['challenged']
challenge,challenge#v#3,The illegal immigrant was challenged by the border guard,literal,0.9,metaphorical,['action'],['challenged']
change,change#v#10,Father had to learn how to change the baby,literal,0.7,metaphorical,['condition'],['learn']
change,change#v#2,She changed completely as she grew older,literal,0.8,metaphorical,['even'],['changed']
change,change#v#3,her mood changes in accordance with the weather,literal,0.8,metaphorical,['warm'],['changes']
change,change#v#7,Would you change places with me?,literal,1.0,misc,[''],['Would']
change,change#v#8,She changed in Chicago on her way to the East coast,literal,0.8,metaphorical,['right'],['changed']
change,change#v#9,His voice began to change when he was 12 years old,literal,0.9,metaphorical,['start'],['began']
cheer,cheer#v#2,everybody cheered the birthday boy,literal,0.9,literal,['cheer'],['cheered']
cheer,cheer#v#3,She tried to cheer up the disappointed child when he failed to win the spelling bee,literal,0.8,metaphorical,['fight'],['tried']
cheer,cheer#v#5,The crowd cheered the demonstrating strikers,literal,0.9,literal,['cheer'],['cheered']
circulate,circulate#v#3,This letter is being circulated among the faculty.,literal,0.7,metaphorical,['circle'],['circulated']
circulate,circulate#v#4,Blood circulates in my veins.,literal,1.0,metaphorical,['utter'],['circulates']
circulate,circulate#v#6,The fan circulates the air in the room.,literal,0.9,metaphorical,['circle'],['circulates']
circulate,circulate#v#7,She circulates among royalty.,metaphorical,0.8,metaphorical,['circle'],['circulates']
claim,claim#v#1,He claimed that he killed the burglar,literal,1.0,metaphorical,['charge'],['claimed']
claim,claim#v#2,He claimed his suitcases at the airline counter,literal,0.9,metaphorical,['charge'],['claimed']
claim,claim#v#3,They claimed on the maximum allowable amount,literal,0.9,metaphorical,['charge'],['claimed']
claim,claim#v#5,the accident claimed three lives,literal,0.6,metaphorical,['charge'],['claimed']
clamor,clamor#v#1,he clamored for justice and tolerance,literal,0.7,metaphorical,['clamour'],['clamored']
clamor,clamor#v#2,The delegates clamored their disappointment,metaphorical,0.5,metaphorical,['clamour'],['clamored']
clamor,clamor#v#3,They clamored the mayor into building a new park,literal,0.8,metaphorical,['clamour'],['clamored']
clap,clap#v#1,The judge clapped him in jail,metaphorical,0.7,metaphorical,['acclaim'],['clapped']
clap,clap#v#2,The big bird clapped its wings,literal,0.9,literal,['clap'],['clapped']
clap,clap#v#4,The children were clapping to the music,literal,1.0,metaphorical,['hand'],['clapping']
clap,clap#v#5,the wings of the birds clapped loudly,literal,0.7,literal,['clap'],['clapped']
clap,clap#v#7,clap two boards together,literal,0.8,metaphorical,['spat'],['clap']
claw,claw#v#1,They clawed their way to the top of the mountain.,metaphorical,0.8,literal,['claw'],['clawed']
claw,claw#v#2,She clawed the doorknob.,metaphorical,0.6,literal,['claw'],['clawed']
claw,claw#v#4,The politician clawed his rival.,metaphorical,0.9,literal,['claw'],['clawed']
clean,clean#v#1,The dentist cleaned my teeth,literal,1.0,literal,['brush'],['cleaned']
clean,clean#v#10,clean grain before milling it,literal,0.9,literal,['milling'],['milling']
clean,clean#v#4,clean up before you see your grandparents,literal,0.8,metaphorical,['clear'],['clean']
clean,clean#v#5,This stove cleans easily,literal,0.8,literal,['dust'],['cleans']
clean,clean#v#6,The other players cleaned him completely,literal,0.6,literal,['clean'],['cleaned']
clean,clean#v#7,The boys cleaned the sandwich platters,literal,0.7,literal,['clean'],['cleaned']
climb,climb#v#1,Did you ever climb up the hill behind your house?,literal,1.0,literal,['jump'],['climb']
climb,climb#v#3,Sales were climbing after prices were lowered,metaphorical,0.8,metaphorical,['advance'],['climbing']
climb,climb#v#4,The path climbed all the way to the top of the hill,metaphorical,0.6,literal,['jump'],['climbed']
climb,climb#v#5,This young man knows how to climb the social ladder,metaphorical,0.8,metaphorical,['experience'],['knows']
climb,climb#v#6,prices climbed steeply,metaphorical,0.6,metaphorical,['scale'],['climbed']
clog,clog#v#1,The leaves clog our drains in the Fall,literal,0.9,metaphorical,['foul'],['clog']
clog,clog#v#3,horses were clogged until they were tamed,metaphorical,0.5,metaphorical,['stuff'],['clogged']
clog,clog#v#4,The market is being clogged by these operations,metaphorical,0.6,metaphorical,['overload'],['clogged']
clog,clog#v#6,Fear clogged her mind,metaphorical,0.6,metaphorical,['stuff'],['clogged']
cloud,cloud#v#2,The stars are obscured by the clouds.,literal,0.96,literal,['cloud'],['obscured']
cloud,cloud#v#3,The smoke clouded above the houses.,literal,0.6,metaphorical,['mist'],['clouded']
cloud,cloud#v#4,Their faces were clouded with sadness.,metaphorical,1.0,metaphorical,['fog'],['clouded']
cloud,cloud#v#6,The stroke clouded memories of her youth.,metaphorical,0.7222,metaphorical,['blurred'],['clouded']
cloud,cloud#v#8,The chemical clouded the liquid to which it was added.,metaphorical,0.5,metaphorical,['mist'],['clouded']
co-opt,co-opt#v#1,The church members co-opted individuals from similar backgrounds to replenish the congregation,literal,0.6,metaphorical,['CO'],['co']
co-opt,co-opt#v#2,We co-opted the independent minority tribes by pulling them into the Northern Alliance,literal,0.8,metaphorical,['CO'],['co']
co-opt,co-opt#v#3,The army tried to co-opt peasants into civil defence groups,literal,0.9,metaphorical,['control'],['tried']
co-opt,co-opt#v#4,He co-opted the criticism and embraced it,literal,0.8,metaphorical,['CO'],['co']
color,color#v#1,The child colored the drawings,literal,1.0,literal,['color'],['colored']
color,color#v#2,My personal feelings color my judgment in this case,metaphorical,0.8,literal,['tone'],['color']
color,color#v#3,His political ideas color his lectures,metaphorical,0.6,literal,['tone'],['color']
color,color#v#4,color the walls with paint in warm tones,literal,0.8,literal,['shade'],['color']
commit,commit#v#2,She committed herself to the work of God,literal,0.8,metaphorical,['vow'],['committed']
commit,commit#v#3,"After the second episode, she had to be committed",literal,0.8,metaphorical,['vow'],['committed']
commit,commit#v#6,commit a random act of kindness,literal,0.9,metaphorical,['vow'],['commit']
communicate,communicate#v#1,Please communicate this message to all employees,literal,0.9,metaphorical,['message'],['communicate']
communicate,communicate#v#2,He communicated his anxieties to the psychiatrist,literal,0.9,metaphorical,['message'],['communicated']
communicate,communicate#v#3,communicate a disease,literal,0.6,metaphorical,['yak'],['communicate']
communicate,communicate#v#4,The rooms communicated,metaphorical,0.8,metaphorical,['riddle'],['communicated']
communicate,communicate#v#5,He and his sons haven't communicated for years,literal,0.8,metaphorical,['get'],['communicated']
compare,compare#v#1,John compared his haircut to his friend's,literal,0.9,metaphorical,['go'],['compared']
compare,compare#v#2,This car does not compare with our line of Mercedes,literal,0.9,metaphorical,['equivalence'],['compare']
compare,compare#v#3,We can compare the Han dynasty to the Romans,literal,0.9,metaphorical,['throne'],['can']
compose,compose#v#1,Greed and ambition composed his personality,metaphorical,0.5,metaphorical,['counterpoint'],['composed']
compose,compose#v#2,Beethoven composed nine symphonies,literal,0.9,metaphorical,['verse'],['composed']
compose,compose#v#5,She had to compose herself before she could reply to this terrible insult,literal,0.6,metaphorical,['script'],['compose']
computerize,computerize#v#2,Please use a computerized disctionary.,literal,0.8,literal,['manipulation'],['use']
condemn,condemn#v#1,We condemn the racism in South Africa,literal,0.9,metaphorical,['doom'],['condemn']
condemn,condemn#v#2,The building was condemned by the inspector,literal,0.8,metaphorical,['sentence'],['condemned']
condemn,condemn#v#3,His devotion to his sick wife condemned him to a lonely existence,metaphorical,0.6,metaphorical,['sentence'],['condemned']
condemn,condemn#v#4,Her strange behavior condemned her,literal,0.6,metaphorical,['sentence'],['condemned']
condemn,condemn#v#5,He was condemned to ten years in prison,literal,0.8,metaphorical,['sentence'],['condemned']
condemn,condemn#v#6,the county condemned the land to build a highway,literal,0.8,metaphorical,['explode'],['condemned']
condense,condense#v#2,condense the contents of a book into a summary,literal,0.7,metaphorical,['contract'],['condense']
